system	title	rom
GBC	Ronaldo V.Soccer	Ronaldo V.Soccer (U) (M4) [C][!].gbc
GBC	Roswell Conspiracies - Aliens, Myths & Legends	Roswell Conspiracies - Aliens, Myths & Legends (U) (M3) [C][!].gbc
GBC	Rox	Rox (E) [C][!].gbc
GBC	Rugrats - Time Travelers	Rugrats - Time Travelers (U) [C][!].gbc
GBC	Rugrats - Totally Angelica	Rugrats - Totally Angelica (U) [C][!].gbc
GBC	Rugrats in Paris - The Movie	Rugrats in Paris - The Movie (U) [C][!].gbc
GBC	Rugrats Movie, The	Rugrats Movie, The (U) [C][!].gbc
GBC	Sabrina - The Animated Series - Spooked!	Sabrina - The Animated Series - Spooked! (U) [C][!].gbc
GBC	Sabrina - The Animated Series - Zapped!	Sabrina - The Animated Series - Zapped! (U) [C][!].gbc
GBC	San Francisco Rush 2049	San Francisco Rush 2049 (U) [C][!].gbc
GBC	Santa Claus Junior	Santa Claus Junior (E) [C][!].gbc
GBC	Scooby-Doo! - Classic Creep Capers	Scooby-Doo! - Classic Creep Capers (U) [C][!].gbc
GBC	Scrabble	Scrabble (E) [C][!].gbc
GBC	Sesame Street Sports	Sesame Street Sports (U) [C].gbc
GBC	Sgt. Rock - On The Front Line	Sgt. Rock - On The Front Line (U) [C][!].gbc
GBC	Shadowgate Classic	Shadowgate Classic (E) (V1.0) (M5) [C][!].gbc
GBC	Shamus	Shamus (U) [C][!].gbc
GBC	Shanghai Pocket	Shanghai Pocket (U) (V1.0) [C][!].gbc
GBC	Shantae	Shantae (U) [C][!].gbc
GBC	Shaun Palmer's Pro Snowboarder	Shaun Palmer's Pro Snowboarder (U) [C][!].gbc
GBC	Shrek - Fairy Tale Freakdown	Shrek - Fairy Tale Freakdown (U) (M6) [C][!].gbc
GBC	Simpsons, The - Night of the Living Treehouse of Horror	Simpsons, The - Night of the Living Treehouse of Horror (U) [C][!].gbc
GBC	Smurfs 3, The	Smurfs Nightmare, The (U) [C][!].gbc
GBC	Snoopy Tennis	Snoopy Tennis (U) (M3) [C][!].gbc
GBC	Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs (E) (M9) [C][!].gbc
GBC	Soccer Manager	Soccer Manager (E) (M4) [C][!].gbc
GBC	Space Invaders [C]	Space Invaders (U) [C][!].gbc
GBC	Space Invasion	Space Invasion (Unl) [C][!].gbc
GBC	Space Marauder	Space Marauder (U) [C][!].gbc
GBC	Spacestation Silicon Valley	Spacestation Silicon Valley (E) (M7) [C][!].gbc
GBC	Spawn	Spawn (U) [C][!].gbc
GBC	Speedy Gonzales - Aztec Adventure	Speedy Gonzales - Aztec Adventure (U) [C][!].gbc
GBC	Spider-Man	Spider-Man (U) [C][!].gbc
GBC	Spider-Man 2 - The Sinister Six	Spider-Man 2 - The Sinister Six (U) [C][!].gbc
GBC	Spirou - La Panique Mecanique	Spirou - La Panique Mecanique (E) (M7) [C][!].gbc
GBC	SpongeBob SquarePants - Legend of the Lost Spatula	SpongeBob SquarePants - Legend of the Lost Spatula (U) [C][!].gbc
GBC	Spy vs. Spy	Spy vs. Spy (U) [C][!].gbc
GBC	Star Wars Episode I - Obi-Wan's Adventures	Star Wars Episode I - Obi-Wan's Adventures (U) [C][!].gbc
GBC	Star Wars Episode I - Racer	Star Wars Episode I - Racer (UE) [C][!].gbc
GBC	Street Fighter Alpha - Warriors' Dreams	Street Fighter Alpha - Warriors' Dreams (U) [C][!].gbc
GBC	Stuart Little - The Journey Home	Stuart Little - The Journey Home (U) [C][!].gbc
GBC	Super Breakout!	Super Breakout! (U) [C][!].gbc
GBC	Super Mario Bros. Deluxe	Super Mario Bros. Deluxe (U) (V1.0) [C][!].gbc
GBC	Super SLG	Super SLG (Unl) [C].gbc
GBC	Supercross Freestyle	Supercross Freestyle (E) (M5) [C][!].gbc
GBC	Survival Kids	Survival Kids (U) [C][!].gbc
GBC	Suzuki Alstare Extreme Racing	Suzuki Alstare Extreme Racing (E) (M6) [C][!].gbc
GBC	SWIV	SWIV (E) (M5) [C][!].gbc
GBC	Tarzan	Tarzan (F) [C][!].gbc
GBC	Tazmanian Devil - Munching Madness	Tazmanian Devil - Munching Madness (U) (M5) [C][!].gbc
GBC	Tech Deck Skateboarding	Tech Deck Skateboarding (U) [C][!].gbc
GBC	Test Drive 2001	Test Drive 2001 (U) [C][!].gbc
GBC	Test Drive 6	Test Drive 6 (U) [C][!].gbc
GBC	Test Drive Cycles	Test Drive Cycles (U) [C][!].gbc
GBC	Test Drive Le Mans	Test Drive Le Mans (U) (M3) [C][!].gbc
GBC	Test Drive Off-Road 3	Test Drive Off-Road 3 (U) [C][!].gbc
GBC	Tetris DX	Tetris DX (JU) [C][!].gbc
GBC	Three Lions	Three Lions (U) (M7) [C][!].gbc
GBC	Thunder Blast Man	Thunder Blast Man (J) [C][!].gbc
GBC	Thunderbirds	Thunderbirds (E) (M5) [C][!].gbc
GBC	Tiger Woods PGA Tour 2000	Tiger Woods PGA Tour 2000 (U) [C][!].gbc
GBC	Tintin in Tibet	Tintin in Tibet (E) (M7) [C][!].gbc
GBC	Tiny Toon Adventures - Buster Saves the Day	Tiny Toon Adventures - Buster Saves the Day (U) [C][!].gbc
GBC	Tiny Toon Adventures - Dizzy's Candy Quest	Tiny Toon Adventures - Dizzy's Candy Quest (E) (M6) [C][!].gbc
GBC	Titus the Fox	Titus the Fox (U) [C][!].gbc
GBC	TNN Outdoors Fishing Champ	TNN Outdoors Fishing Champ (U) [C][!].gbc
GBC	TOCA Touring Car Championship	TOCA Touring Car Championship (U) [C][!].gbc
GBC	Toki Tori	Toki Tori (U) (M5) [C][!].gbc
GBC	Tom and Jerry	Tom and Jerry (U) [C][!].gbc
GBC	Tom and Jerry - Mouse Hunt	Tom and Jerry - Mouse Hunt (U) [C][!].gbc
GBC	Tom and Jerry in Mouse Attacks!	Tom and Jerry in Mouse Attacks! (U) [C][!].gbc
GBC	Tom Clancy's Rainbow Six	Tom Clancy's Rainbow Six (U) (M3) [C][!].gbc
GBC	Tomb Raider	Tomb Raider (UE) (M5) (Beta) [C][!].gbc
GBC	Tomb Raider - Curse of the Sword	Tomb Raider - Curse of the Sword (U) [C][!].gbc
GBC	Tonic Trouble	Tonic Trouble (E) (M6) [C][!].gbc
GBC	Tonka Construction Site	Tonka Construction Site (U) [C].gbc
GBC	Tonka Raceway	Tonka Raceway (U) (No Rumble) [C][!].gbc
GBC	Tony Hawk's Pro Skater	Tony Hawk's Pro Skater (U) [C][!].gbc
GBC	Tony Hawk's Pro Skater 2	Tony Hawk's Pro Skater 2 (U) [C][!].gbc
GBC	Tony Hawk's Pro Skater 3	Tony Hawk's Pro Skater 3 (U) [C][!].gbc
GBC	Toobin'	Toobin' (U) [C][!].gbc
GBC	Toonsylvania	Toonsylvania (U) [C][!].gbc
GBC	Tootuff	Tootuff (E) (M6) [C][!].gbc
GBC	Top Gear Pocket	Top Gear Pocket (U) [C][!].gbc
GBC	Top Gear Pocket 2	Top Gear Pocket 2 (U) [C][!].gbc
GBC	Top Gun - Fire Storm	Top Gun - Fire Storm (U) (M6) [C][!].gbc
GBC	Total Soccer 2000	Total Soccer 2000 (E) (M6) [C][!].gbc
GBC	Towers - Lord Baniff's Deceit	Towers - Lord Baniff's Deceit (U) [C][!].gbc
GBC	Toy Story 2	Toy Story 2 (U) [C][!].gbc
GBC	Toy Story Racer	Toy Story Racer (U) [C][!].gbc
GBC	Trick Boarder	Trick Boarder (U) [C][!].gbc
GBC	Triple Play 2001	Triple Play 2001 (U) [C][!].gbc
GBC	Trouballs	Trouballs (U) [C][!].gbc
GBC	Turok - Rage Wars	Turok - Rage Wars (UE) (M4) [C][!].gbc
GBC	Turok 2 - Seeds of Evil	Turok 2 - Seeds of Evil (U) (M4) [C][!].gbc
GBC	Turok 3 - Shadow of Oblivion	Turok 3 - Shadow of Oblivion (UE) (M4) [C][!].gbc
GBC	Tweenies - Doodles' Bones	Tweenies - Doodles' Bones (E) (M4) [C][!].gbc
GBC	Tweety's High-Flying Adventure	Tweety's High-Flying Adventure (E) (M3) (Eng-Fre-Ger) [C][!].gbc
GBC	Tyco RC - Racin' Ratz	Tyco RC - Racin' Ratz (U) [C][!].gbc
GBC	Ultimate Fighting Championship	Ultimate Fighting Championship (U) [C][!].gbc
GBC	Ultimate Paint Ball	Ultimate Paint Ball (U) [C][!].gbc
GBC	Ultimate Surfing	Ultimate Surfing (U) [C][!].gbc
GBC	Uno	Uno (U) [C][!].gbc
GBC	V-Rally - Championship Edition	V-Rally - Championship Edition (U) (M3) [C][!].gbc
GBC	Vegas Games	Vegas Games (U) [C][!].gbc
GBC	Vigilante 8	Vigilante 8 (U) [C][!].gbc
GBC	VIP	VIP (E) (M5) [C][!].gbc
GBC	Wacky Races	Wacky Races (U) (M3) [C][!].gbc
GBC	Walt Disney World Quest - Magical Racing Tour	Walt Disney World Quest - Magical Racing Tour (U) [C][!].gbc
GBC	Wario Land 3	Wario Land 3 (JU) (M2) [C][!].gbc
GBC	Wario Land II	Wario Land II (U) [C][!].gbc
GBC	Warlocked	Warlocked (U) [C][!].gbc
GBC	Warriors of Might and Magic	Warriors of Might and Magic (U) (M3) [C][!].gbc
GBC	WCW Mayhem	WCW Mayhem (U) [C][!].gbc
GBC	Wendy - Every Witch Way	Wendy - Every Witch Way (U) [C][!].gbc
GBC	Wetrix GB	Wetrix GB (E) [C][!].gbc
GBC	Who Wants to Be a Millionaire - 2nd Edition	Who Wants to Be a Millionaire - 2nd Edition (U) [C][!].gbc
GBC	Wild Thornberrys, The - Rambler	Wild Thornberrys, The - Rambler (U) [C][!].gbc
GBC	Wings of Fury	Wings of Fury (U) [C][!].gbc
GBC	Winnie the Pooh - Adventures in the 100 Acre Wood	Winnie the Pooh - Adventures in the 100 Acre Wood (U) [C][!].gbc
GBC	Woody Woodpecker	Woody Woodpecker (U) [C][!].gbc
GBC	Woody Woodpecker Racing	Woody Woodpecker Racing (U) [C][!].gbc
GBC	World Destruction League - Thunder Tanks	World Destruction League - Thunder Tanks (U) (M3) [C][!].gbc
GBC	Worms Armageddon	Worms Armageddon (U) (M3) [C][!].gbc
GBC	WWF Attitude	WWF Attitude (U) [C][!].gbc
GBC	WWF Betrayal	WWF Betrayal (U) [C][!].gbc
GBC	WWF WrestleMania 2000	WWF WrestleMania 2000 (U) [C][!].gbc
GBC	X-Men - Mutant Academy	X-Men - Mutant Academy (U) [C][!].gbc
GBC	X-Men - Mutant Wars	X-Men - Mutant Wars (U) [C][!].gbc
GBC	X-Men - Wolverine's Rage	X-Men - Wolverine's Rage (U) [C][!].gbc
GBC	Xena - Warrior Princess	Xena - Warrior Princess (U) (M6) [C][!].gbc
GBC	Xtreme Sports	Xtreme Sports (U) [C][!].gbc
GBC	Xtreme Wheels	Xtreme Wheels (U) [C][!].gbc
GBC	Yars' Revenge - The Quotile Ultimatum	Yars' Revenge - The Quotile Ultimatum (U) [C][!].gbc
GBC	Yoda Stories	Yoda Stories (U) [C][!].gbc
GBC	Yogi Bear - Great Balloon Blast	Yogi Bear - Great Balloon Blast (U) [C][!].gbc
GBC	Your Virtual Petz Palz	Catz - Your Virtual Petz Palz (U) [C][!].gbc
GBC	Yu-Gi-Oh! Dark Duel Stories	Yu-Gi-Oh! Dark Duel Stories (U) [C][!].gbc
GBC	Zebco Fishing!	Zebco Fishing! (U) [C][!].gbc
GBC	Zidane Football Generation	Zidane Football Generation (E) (M5) [C][!].gbc
GBC	Zoboomafoo - Playtime In Zobooland	Zoboomafoo - Playtime In Zobooland (U) [C][!].gbc
GEN	3 Ninjas Kick Back	3 Ninjas Kick Back (U) [!].bin
GEN	688 Attack Sub	688 Attack Sub (UE) [!].bin
GEN	A Ressha de Gyoukou MD	A Ressha de Gyoukou MD (J) [!].bin
GEN	AAAHH!!! Real Monsters	AAAHH!!! Real Monsters (UE) [!].bin
GEN	Aah! Harimanada	Aah! Harimanada (J) [!].bin
GEN	Action 52	Action 52 (Unl) [!].bin
GEN	Addams Family Values	Addams Family Values (E) (M3) [!].bin
GEN	Addams Family, The	Addams Family, The (UE) [!].bin
GEN	Advanced Daisenryaku	Advanced Daisenryaku (J) (REV01) [T+Eng95%_NebelwurferHQ].bin
GEN	Adventures of Batman and Robin, The	Adventures of Batman and Robin, The (U) [!].bin
GEN	Adventures of Mighty Max, The	Adventures of Mighty Max, The (U) [!].bin
GEN	Aero the Acro-Bat	Aero the Acro-Bat (U) [c][!].bin
GEN	Aero the Acro-Bat 2	Aero the Acro-Bat 2 (U) [!].bin
GEN	Aerobiz	Aerobiz (U) [!].bin
GEN	Aerobiz Supersonic	Aerobiz Supersonic (U) [!].bin
GEN	After Burner II	After Burner II (UE) [!].bin
GEN	Air Buster	Air Buster (U) [c][!].bin
GEN	Air Diver	Air Diver (U) [!].bin
GEN	Aladdin II	Aladdin II (Unl).bin
GEN	Alex Kidd in the Enchanted Castle	Alex Kidd in the Enchanted Castle (U) (REV01) [!].bin
GEN	Alien 3	Alien 3 (UE) (REV00) [!].bin
GEN	Alien Soldier	Alien Soldier (E) [!].bin
GEN	Alien Storm	Alien Storm (W) [!].bin
GEN	Alisia Dragoon	Alisia Dragoon (U) [!].bin
GEN	Altered Beast	Altered Beast (W) (REV02) [!].bin
GEN	American Gladiators	American Gladiators (U) [!].bin
GEN	Andre Agassi Tennis	Andre Agassi Tennis (U) (REV00) [!].bin
GEN	Animaniacs	Animaniacs (U) [!].bin
GEN	Anime Land	Anime Land (J).bin
GEN	Arcade Classics	Arcade Classics (U) [!].bin
GEN	Arch Rivals	Arch Rivals (UE) [!].bin
GEN	Arcus Odyssey	Arcus Odyssey (U) [!].bin
GEN	Ariel - The Little Mermaid	Ariel - The Little Mermaid (UE) [!].bin
GEN	Arnold Palmer Tournament Golf	Arnold Palmer Tournament Golf (UE) [!].bin
GEN	Arrow Flash	Arrow Flash (UE) [!].bin
GEN	Art Alive!	Art Alive! (W) [!].bin
GEN	Art of Fighting	Art of Fighting (U) [!].bin
GEN	Asterix and the Great Rescue	Asterix and the Great Rescue (U) [!].bin
GEN	Asterix and the Power of The Gods	Asterix and the Power of The Gods (E) (M4) [!].bin
GEN	Atomic Robo-Kid	Atomic Robo-Kid (U) [c][!].bin
GEN	Atomic Runner	Atomic Runner (U) [!].bin
GEN	ATP Tour Championship Tennis	ATP Tour Championship Tennis (U) [!].bin
GEN	Aworg	Aworg (SN) (J) [!].bin
GEN	AWS Pro Moves Soccer	AWS Pro Moves Soccer (U) [!].bin
GEN	Ayrton Senna's Super Monaco GP II	Ayrton Senna's Super Monaco GP II (U) [!].bin
GEN	Baby's Day Out	Baby's Day Out (Beta 1).bin
GEN	Back to the Future Part III	Back to the Future Part III (U) [!].bin
GEN	Bahamut Senki	Bahamut Senki (J) [c][!].bin
GEN	Ball Jacks	Ball Jacks (JE) [c][!].bin
GEN	Ballz	Ballz (UE) [!].bin
GEN	Barbie Super Model	Barbie Super Model (U) [!].bin
GEN	Barbie Vacation Adventure	Barbie Vacation Adventure (Beta).bin
GEN	Barkley Shut Up and Jam!	Barkley Shut Up and Jam! (UE) [!].bin
GEN	Barkley Shut Up and Jam! 2	Barkley Shut Up and Jam! 2 (U) [!].bin
GEN	Barney's Hide & Seek Game	Barney's Hide & Seek Game (U) [!].bin
GEN	Bass Masters Classic Pro Edition	Bass Masters Classic Pro Edition (U) [!].bin
GEN	Batman	Batman (U) [!].bin
GEN	Batman - Revenge of the Joker	Batman - Revenge of the Joker (U) [!].bin
GEN	Batman Forever	Batman Forever (W) [!].bin
GEN	Batman Returns	Batman Returns (W) [!].bin
GEN	Battle Golfer Yui	Battle Golfer Yui (J) [c][!].bin
GEN	Battle Squadron	Battle Squadron (UE) [!].bin
GEN	Battlemaster	Battlemaster (U) [c][!].bin
GEN	Battletech	Battletech (U) [!].bin
GEN	Battletoads	Battletoads (W) [!].bin
GEN	Battletoads and Double Dragon	Battletoads and Double Dragon (U) [c][!].bin
GEN	Beast Ball	Beast Ball (Prototype).bin
GEN	Beast Wrestler	Beast Wrestler (U) [!].bin
GEN	Beauty and the Beast - Belle's Quest	Beauty and the Beast - Belle's Quest (U) [!].bin
GEN	Beauty and the Beast - Roar of the Beast	Beauty and the Beast - Roar of the Beast (U) [!].bin
GEN	Beavis and Butt-head	Beavis and Butt-head (U) [!].bin
GEN	Best of the Best - Championship Karate	Best of the Best - Championship Karate (U) [c][!].bin
GEN	Beyond Oasis	Beyond Oasis (U) [!].bin
GEN	Bill Walsh College Football	Bill Walsh College Football (UE) [c][!].bin
GEN	Bill Walsh College Football '95	Bill Walsh College Football '95 (U) [!].bin
GEN	Bimini Run	Bimini Run (U) (REV02) [!].bin
GEN	Bio-Hazard Battle	Bio-Hazard Battle (UE) [!].bin
GEN	Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (J) [!].bin
GEN	Blades of Vengeance	Blades of Vengeance (UE) [!].bin
GEN	Blaster Master 2	Blaster Master 2 (U) [c][!].bin
GEN	Block Out	Block Out (W) (REV01) [!].bin
GEN	Blue Almanac	Star Odyssey (W).bin
GEN	Body Count	Body Count (E) (M5) [!].bin
GEN	Bomber	Bomber (R).bin
GEN	Bomboy	Bomboy (unl).bin
GEN	Bonanza Bros.	Bonanza Bros. (U) [!].bin
GEN	Boogerman	Boogerman (U) [!].bin
GEN	Boxing Legends of the Ring	Boxing Legends of the Ring (U) [!].bin
GEN	Bram Stoker's Dracula	Bram Stoker's Dracula (U) [!].bin
GEN	Brett Hull Hockey '95	Brett Hull Hockey '95 (U) [!].bin
GEN	Brian Lara Cricket	Brian Lara Cricket (E) [c][!].bin
GEN	Brian Lara Cricket 96	Brian Lara Cricket 96 (E) [c][!].bin
GEN	Brutal - Paws of Fury	Brutal - Paws of Fury (U) [!].bin
GEN	Bubba N Stix	Bubba N Stix (U) [!].bin
GEN	Bubble and Squeak	Bubble and Squeak (U) [!].bin
GEN	Bubsy II	Bubsy II (UE) [!].bin
GEN	Bubsy in Claws Encounters of the Furred Kind	Bubsy in Claws Encounters of the Furred Kind (UE) [!].bin
GEN	Buck Rogers - Countdown to Doomsday	Buck Rogers - Countdown to Doomsday (UE) [!].bin
GEN	Budokan - The Martial Spirit	Budokan - The Martial Spirit (U) [c][!].bin
GEN	Bug's Life, A	Bug's Life, A (Unl) [!].bin
GEN	Bugs Bunny in Double Trouble	Bugs Bunny in Double Trouble (U) [!].bin
GEN	Bulls vs Blazers and the NBA Playoffs	Bulls vs Blazers and the NBA Playoffs (UE) [!].bin
GEN	Bulls vs Lakers and the NBA Playoffs	Bulls vs Lakers and the NBA Playoffs (UE) [!].bin
GEN	Burning Force	Burning Force (U) [!].bin
GEN	Cadash	Cadash (JU) [c][!].bin
GEN	Caesars Palace	Caesars Palace (U) [!].bin
GEN	California Games	California Games (UE) [!].bin
GEN	Cannon Fodder	Cannon Fodder (E) [!].bin
GEN	Captain America and the Avengers	Captain America and the Avengers (U) [!].bin
GEN	Captain Planet and the Planeteers	Captain Planet and the Planeteers (E) [!].bin
GEN	Castle of Illusion Starring Mickey Mouse	Castle of Illusion Starring Mickey Mouse (UE) [!].bin
GEN	Castlevania - Bloodlines	Castlevania - Bloodlines (U) [!].bin
GEN	Centurion - Defender of Rome	Centurion - Defender of Rome (UE) [!].bin
GEN	Chakan - The Forever Man	Chakan - The Forever Man (UE) [!].bin
GEN	Champions World Class Soccer	Champions World Class Soccer (W) (M4) [!].bin
GEN	Championship Bowling	Championship Bowling (U) [!].bin
GEN	Championship Pool	Championship Pool (U) [!].bin
GEN	Championship Pro-Am	Championship Pro-Am (U) [c][!].bin
GEN	Cheese Cat-Astrophe Starring Speedy Gonzales	Cheese Cat-Astrophe Starring Speedy Gonzales (E) (M4) [!].bin
GEN	Chess	Chess (Unl) [!].bin
GEN	Chester Cheetah	Chester Cheetah (U) [c][!].bin
GEN	Chester Cheetah 2 - Wild Wild Quest	Chester Cheetah 2 - Wild Wild Quest (U) [!].bin
GEN	Chi Chi's Pro Challenge	Chi Chi's Pro Challenge (U) [!].bin
GEN	Chibi Maruko-Chan - Wakuwaku Shopping	Chibi Maruko-Chan - Wakuwaku Shopping (J) [c][!].bin
GEN	Chiki Chiki Boys	Chiki Chiki Boys (UE) [!].bin
GEN	Chou Yakyuu Miracle Nine	Chou Yakyuu Miracle Nine (J) [!].bin
GEN	Chuck II - Son of Chuck	Chuck II - Son of Chuck (U) [!].bin
GEN	Chuck Rock	Chuck Rock (U) [c][!].bin
GEN	Classic Collection	Classic Collection (UE) [!].bin
GEN	Clay Fighter	Clay Fighter (U) [!].bin
GEN	Cliffhanger	Cliffhanger (U) [c][!].bin
GEN	Clue	Clue (U) [!].bin
GEN	Coach K College Basketball	Coach K College Basketball (U) [!].bin
GEN	College Football USA 96	College Football USA 96 (U) [!].bin
GEN	College Football USA 97 - The Road to New Orleans	College Football USA 97 - The Road to New Orleans (U) [!].bin
GEN	College Football's National Championship	College Football's National Championship (U) [!].bin
GEN	College Slam	College Slam (U) [!].bin
GEN	Columns	Columns (W) (REV00) [!].bin
GEN	Columns III - Revenge of Columns	Columns III - Revenge of Columns (U) [!].bin
GEN	Combat Cars	Combat Cars (UE) [!].bin
GEN	Comix Zone	Comix Zone (U) [!].bin
GEN	Contra - Hard Corps	Contra - Hard Corps (U) [!].bin
GEN	Cool Spot	Cool Spot (U) [!].bin
GEN	Cosmic Spacehead	Cosmic Spacehead (UE) (M4) [c][!].bin
GEN	Crack Down	Crack Down (U) [!].bin
GEN	Crayon Shin-Chan - Arashi o Yobu Sono Ko	Crayon Shin-Chan - Arashi o Yobu Sono Ko (J) [!].bin
GEN	CrossFire	CrossFire (U) [c][!].bin
GEN	Crue Ball	Crue Ball (UE) [!].bin
GEN	Crusader of Centy	Crusader of Centy (U) [!].bin
GEN	Crystal's Pony Tale	Crystal's Pony Tale (U) [!].bin
GEN	Cutthroat Island	Cutthroat Island (UE) [!].bin
GEN	Cuty Suzuki no Ringside Angel	Cuty Suzuki no Ringside Angel (J) [!].bin
GEN	Cyber-Cop	Cyber-Cop (U) [c][!].bin
GEN	CyberBall	CyberBall (W) [!].bin
GEN	Cyborg Justice	Cyborg Justice (W) [!].bin
GEN	D&D - Warriors of the Eternal Sun	D&D - Warriors of the Eternal Sun (UE) [!].bin
GEN	Daffy Duck in Hollywood	Daffy Duck in Hollywood (E) (M5) [!].bin
GEN	Dangerous Seed	Dangerous Seed (J) [!].bin
GEN	Dark Castle	Dark Castle (UE) [!].bin
GEN	Darwin 4081	Darwin 4081 (J) [!].bin
GEN	Dashin' Desperadoes	Dashin' Desperadoes (U) [!].bin
GEN	David Crane's Amazing Tennis	David Crane's Amazing Tennis (U) [!].bin
GEN	David Robinson's Supreme Court	David Robinson's Supreme Court (U) [!].bin
GEN	Davis Cup World Tour Tennis	Davis Cup World Tour Tennis (UE) [!].bin
GEN	Daze Before Christmas, The	Daze Before Christmas, The (E) [!].bin
GEN	Deadly Moves	Deadly Moves (U) [!].bin
GEN	Death and Return of Superman, The	Death and Return of Superman, The (U) [!].bin
GEN	Death Duel	Death Duel (U) [!].bin
GEN	Decap Attack	Decap Attack (UE) [!].bin
GEN	Demolition Man	Demolition Man (UE) [!].bin
GEN	Desert Strike - Return to the Gulf	Desert Strike - Return to the Gulf (UE) [!].bin
GEN	Devilish - The Next Possession	Devilish - The Next Possession (U) [c][!].bin
GEN	Dick Tracy	Dick Tracy (W) [c][!].bin
GEN	Dick Vitale's Awesome Baby! College Hoops	Dick Vitale's Awesome Baby! College Hoops (U) [!].bin
GEN	Dino Dini's Soccer	Dino Dini's Soccer (E).bin
GEN	Dino Land	Dino Land (U) [!].bin
GEN	Dinosaurs for Hire	Dinosaurs for Hire (U) [!].bin
GEN	Disney's Aladdin	Disney's Aladdin (U) [!].bin
GEN	Divine Sealing	Divine Sealing (Unl) [!].bin
GEN	DJ Boy	DJ Boy (U) [!].bin
GEN	Donald in Maui Mallard	Donald in Maui Mallard (E) [!].bin
GEN	Doraemon - Yume Dorobouto 7 Nin no Gozansu	Doraemon - Yume Dorobouto 7 Nin no Gozansu (J) [!].bin
GEN	Double Clutch	Double Clutch (E) [c][!].bin
GEN	Double Dragon	Double Dragon (U) [!].bin
GEN	Double Dragon 2 - The Revenge	Double Dragon 2 - The Revenge (J) [!].bin
GEN	Double Dragon 3 - The Rosetta Stone	Double Dragon 3 - The Rosetta Stone (UE) [!].bin
GEN	Double Dragon V - The Shadow Falls	Double Dragon V - The Shadow Falls (U) [!].bin
GEN	Double Dribble - The Playoff Edition	Double Dribble - The Playoff Edition (U) [!].bin
GEN	Dragon - The Bruce Lee Story	Dragon - The Bruce Lee Story (U) [!].bin
GEN	Dragon Ball Z - Buyuu Retsuden	Dragon Ball Z - L'Appel du Destin (F) [T+Eng95%_DBZGameTran].bin
GEN	Dragon's Eye - Shanghai 3	Dragon's Eye - Shanghai 3 (J) [!].bin
GEN	Dragon's Fury	Dragon's Fury (UE) [!].bin
GEN	Dragon's Lair	Assassin's Creed (R).bin
GEN	Dragon's Revenge	Dragon's Revenge (UE) [!].bin
GEN	Dune - The Battle for Arrakis	Dune - The Battle for Arrakis (U) [!].bin
GEN	Dyna Brothers	Dyna Brothers (J) (REV01).bin
GEN	Dyna Brothers 2	Dyna Brothers 2 (J) [!].bin
GEN	Dynamite Duke	Dynamite Duke (W) [!].bin
GEN	Dynamite Headdy	Dynamite Headdy (UE) [c][!].bin
GEN	EA Sports Double Header	EA Sports Double Header (E) [!].bin
GEN	Earnest Evans	Earnest Evans (U) [!].bin
GEN	Earth Defend, The	Earth Defend, The (Unl) [!].bin
GEN	Earthworm Jim	Earthworm Jim (U) [!].bin
GEN	Earthworm Jim 2	Earthworm Jim 2 (U) [!].bin
GEN	ECCO - The Tides of Time	ECCO - The Tides of Time (U) [!].bin
GEN	ECCO Jr.	ECCO Jr. (UA) (REV00) [!].bin
GEN	ECCO The Dolphin	ECCO The Dolphin (UE) [!].bin
GEN	Elemental Master	Elemental Master (U) [!].bin
GEN	Eliminate Down	Star Wars (R) [!].bin
GEN	Escape From Mars Starring Taz	Escape From Mars Starring Taz (U) [!].bin
GEN	ESPN Baseball Tonight	ESPN Baseball Tonight (U) [!].bin
GEN	ESPN National Hockey Night	ESPN National Hockey Night (U) [c][!].bin
GEN	ESPN SpeedWorld	ESPN SpeedWorld (U) [c][!].bin
GEN	ESPN Sunday Night NFL	ESPN Sunday Night NFL (U) [!].bin
GEN	ESWAT Cyber Police - City Under Siege	ESWAT Cyber Police - City Under Siege (U) [!].bin
GEN	Eternal Champions	Eternal Champions (U) [!].bin
GEN	Evander Holyfield's Real Deal Boxing	Evander Holyfield's Real Deal Boxing (JU) [!].bin
GEN	Ex-Mutants	Ex-Mutants (U) [!].bin
GEN	Exile	Exile (U) [!].bin
GEN	Exo-Squad	Exo-Squad (U) [!].bin
GEN	F-117 Night Storm	F-117 Night Storm (UE) [!].bin
GEN	F-15 Strike Eagle II	F-15 Strike Eagle II (U) [!].bin
GEN	F-22 Interceptor	F-22 Interceptor (U) (Jun 1992) [c][!].bin
GEN	F1 Circus MD	F1 Circus MD (J) [!].bin
GEN	F1 World Championship	F1 World Championship (U) [!].bin
GEN	F1 World Championship Edition	F1 World Championship Edition (E) [!].bin
GEN	Faery Tale Adventure, The	Faery Tale Adventure, The (UE) [!].bin
GEN	Family Feud	Family Feud (U) [!].bin
GEN	Fantasia	Fantasia (JU) (REV01) [!].bin
GEN	Fantastic Dizzy	Fantastic Dizzy (UE) (M5) [c][!].bin
GEN	Fastest 1	Fastest 1 (J) [!].bin
GEN	Fatal Fury	Fatal Fury (U) [!].bin
GEN	Fatal Fury 2	Fatal Fury 2 (U) [c][!].bin
GEN	Fatal Labyrinth	Fatal Labyrinth (JU) [!].bin
