system	title	rom
GB	Brain Drain	Brain Drain (U) [S][!].gb
GB	Brainbender	Brainbender (U) [!].gb
GB	Bram Stoker's Dracula	Bram Stoker's Dracula (UE) [!].gb
GB	BreakThru!	BreakThru! (U) [!].gb
GB	Bubble Bobble	Bubble Bobble (U) [M][!].gb
GB	Bubble Bobble Part 2	Bubble Bobble Part 2 (UE) [!].gb
GB	Bubble Ghost	Bubble Ghost (U) [!].gb
GB	Bubsy 2	Bubsy 2 (U) [!].gb
GB	Bugs Bunny	Bugs Bunny (U) [!].gb
GB	Bugs Bunny - Crazy Castle II	Bugs Bunny - Crazy Castle II (U) [!].gb
GB	Burai Fighter Deluxe	Burai Fighter Deluxe (UE) [!].gb
GB	Burning Paper	Burning Paper (J).gb
GB	Bust-A-Move 2 - Arcade Edition	Bust-A-Move 2 - Arcade Edition (U).gb
GB	Bust-A-Move 3 DX	Bust-A-Move 3 DX (U).gb
GB	Buster Brothers	Buster Brothers (U) [!].gb
GB	Ca Da	Ca Da (J).gb
GB	Caesars Palace	Caesars Palace (U) (V1.0) [!].gb
GB	Captain America and the Avengers	Captain America and the Avengers (U) [!].gb
GB	Captain Knick-Knack	Captain Knick-Knack (Sachen) [!].gb
GB	Captain Tsubasa	Captain Tsubasa (J) [S][!].gb
GB	Card Game	Card Game (J).gb
GB	Casino Funpak	Casino Funpak (U) [!].gb
GB	Casper	Casper (U) [!].gb
GB	Castelian	Castelian (U) [!].gb
GB	Castle Quest	Castle Quest (U) [!].gb
GB	Castlevania - Legends	Castlevania - Legends (UE) [S][!].gb
GB	Castlevania Adventure, The	Castlevania Adventure, The (U) [!].gb
GB	Castlevania II - Belmont's Revenge	Castlevania II - Belmont's Revenge (U) [!].gb
GB	Catrap	Catrap (U) [!].gb
GB	Cave Noire	Cave Noire (J).gb
GB	Centipede	Centipede (U) [M][!].gb
GB	Chacha Maru Panic	Chacha Maru Panic (J).gb
GB	Chalvo 55 - Super Puzzle Action	Chalvo 55 - Super Puzzle Action (J) [T+Eng1.0_lba].gb
GB	Championship Pool	Championship Pool (UE) [!].gb
GB	Chase H.Q.	Chase H.Q. (W) (V1.1) [!].gb
GB	Chessmaster, The	Chessmaster, The (UE) (V1.0) [!].gb
GB	Chiki Chiki Tengoku	Chiki Chiki Tengoku (J).gb
GB	Chiki Race	Chiki Race (J) [!].gb
GB	Chikyuu Kaihou Gun ZAS	Chikyuu Kaihou Gun ZAS (J).gb
GB	Choplifter II - Rescue & Survive	Choplifter II - Rescue & Survive (U) [!].gb
GB	Choplifter III	Choplifter III (UE) [!].gb
GB	Chuck Rock	Chuck Rock (U) [!].gb
GB	Cliffhanger	Cliffhanger (UE) [!].gb
GB	Collection Pocket	Collection Pocket (J) [S].gb
GB	College Slam	College Slam (U) [!].gb
GB	Contra - The Alien Wars	Contra - The Alien Wars (U) [S][!].gb
GB	Cool Spot	Cool Spot (U) [!].gb
GB	Cool World	Cool World (U).gb
GB	Cosmo Tank	Cosmo Tank (U) [!].gb
GB	Crayon Shin-Chan	Crayon Shin-Chan (J).gb
GB	Crayon Shin-Chan 2	Crayon Shin-Chan 2 (J).gb
GB	Crayon Shin-Chan 3 - Ora no Gokigen Athletic	Crayon Shin-Chan 3 - Ora no Gokigen Athletic (J).gb
GB	Crayon Shin-Chan 4	Super Mario Land 4 (J) [!].gb
GB	Crazy Burger	Crazy Burger (Sachen) [!].gb
GB	Crystal Quest	Crystal Quest (U) [!].gb
GB	Cutthroat Island	Cutthroat Island (U).gb
GB	Cyraid	Cyraid (U) [!].gb
GB	Daedalean Opus	Daedalean Opus (U) [!].gb
GB	Daffy Duck - The Marvin Missions	Daffy Duck - The Marvin Missions (UE) [!].gb
GB	Daisenryaku	Daisenryaku (J) [T+Eng1.00_Gaijin Productions].gb
GB	Dan Laser	Dan Laser (Sachen) [!].gb
GB	Darkman	Darkman (U).gb
GB	Darkwing Duck	Darkwing Duck (U) [!].gb
GB	Daruman Busters	Daruman Busters (J).gb
GB	Days of Thunder	Days of Thunder (U) [!].gb
